亜|sub-,Asia|ア
随|follow|ズイ
髄|marrow|ズイ
枢|hinge|スウ
崇|adore|スウ
据|set|す-える,す-わる
杉|cedar|すぎ
裾|cuff|すそ
瀬|rapids|せ
是|just so|ゼ
姓|surname|セイ,ショウ
征|subjugate|セイ
斉|adjusted|セイ
牲|animal sacrifice|セイ
凄|uncanny|セイ
逝|departed|セイ,ゆ-く,い-く
婿|bridegroom|セイ,むこ
誓|vow|セイ,ちか-う
請|solicit|セイ,（シン）,こ-う,う-ける
醒|be disillusioned|セイ
斥|reject|セキ
析|chop|セキ
脊|stature|セキ
隻|vessels|セキ
惜|pity|セキ,お-しい,お-しむ
戚|grieve|セキ
跡|tracks|セキ,あと
籍|enroll|セキ
拙|bungling|セツ,つたな-い
窃|stealth|セツ
摂|vicarious|セツ
仙|hermit|セン
占|fortune telling|セン,し-める,うらな-う
扇|fan|セン,おうぎ
栓|plug|セン
旋|rotation|セン
煎 [7]|broil|セン,い-る
羨|envy|セン,うらや-む,うらや-ましい
腺|gland|セン
詮 [7]|discussion|セン
践|tread|セン
箋|paper|セン
潜|submerge|セン,ひそ-む,もぐ-る
遷|transition|セン
薦|recommend|セン,すす-める
繊|slender|セン
鮮|fresh|セン,あざ-やか
禅|Zen|ゼン
漸|steadily|ゼン
膳|tray|ゼン
繕|darning|ゼン,つくろ-う
狙|aim at|ソ,ねら-う
阻|thwart|ソ,はば-む
租|tariff|ソ
措|set aside|ソ
粗|coarse|ソ,あら-い
疎|alienate|ソ,うと-い,うと-む
訴|sue|ソ,うった-える
塑|model|ソ
遡 [8]|go upstream|ソ,さかのぼ-る
礎|cornerstone|ソ,いしずえ
双|pair|ソウ,ふた
壮|robust|ソウ
荘|villa|ソウ
捜|search|ソウ,さが-す
挿|insert|ソウ,さ-す
桑|mulberry|ソウ,くわ
掃|sweep|ソウ,は-く
曹|cadet|ソウ
曽|formerly|ソウ,（ゾ）
爽|refreshing|ソウ,さわ-やか
喪|miss|ソウ,も
痩|get thin|ソウ,や-せる
葬|interment|ソウ,ほうむ-る
僧|Buddhist priest|ソウ
遭|encounter|ソウ,あ-う
槽|vat|ソウ
