----------------------------------------------
KANJI GRADE 1 
----------------------------------------------
一|one|イチ,イツ,ひと,ひと-つ
衛|defense|エイ
易|easy|エキ,イ,やさ-しい
益|benefit|エキ,（ヤク）
液|fluid|エキ
演|perform|エン
応|respond|オウ,こた-える
往|outward journey|オウ
桜|cherry tree|オウ,さくら
可|possible|カ
仮|temporary|カ,（ケ）,かり
価|value|カ,あたい
河|river|カ,かわ
過|go beyond|カ,す-ぎる,す-ごす,あやま-つ,あやま-ち
快|cheerful|カイ,こころよ-い
解|untie|カイ,ゲ,と-く,と-かす,と-ける
格|status|カク,（コウ）
確|certain|カク,たし-か,たし-かめる
額|amount|ガク,ひたい
刊|publish|カン
幹|tree-trunk|カン,みき
慣|accustomed|カン,な-れる,な-らす
眼|eyeball|ガン,（ゲン）,まなこ
紀|chronicle|キ
基|foundation|キ,もと,もとい
寄|approach|キ,よ-る,よ-せる
規|rule|キ
喜|rejoice|キ,よろこ-ぶ
技|skill|ギ,わざ
義|righteousness|ギ
逆|inverted|ギャク,さか,さか-らう
久|long time|キュウ,（ク）,ひさ-しい
旧|old times|キュウ
救|salvation|キュウ,すく-う
居|reside|キョ,い-る
許|permit|キョ,ゆる-す
境|boundary|キョウ,（ケイ）,さかい
均|level|キン
禁|prohibition|キン
句|phrase|ク
型|model|ケイ,かた
経|manage|ケイ,キョウ,へ-る
潔|undefiled|ケツ,いさぎよ-い
件|affair|ケン
険|precipitous|ケン,けわ-しい
検|examine|ケン
限|limit|ゲン,かぎ-る
現|appear|ゲン,あらわ-れる,あらわ-す
減|decrease|ゲン,へ-る,へ-らす
故|circumstances|コ,ゆえ
個|individual|コ
護|safeguard|ゴ
効|effect|コウ,き-く
厚|thick|コウ,あつ-い
耕|till|コウ,たがや-す
航|cruise|コウ
鉱|mineral|コウ
構|construct|コウ,かま-える,かま-う
興|entertain|コウ,キョウ,おこ-る,おこ-す
講|lecture|コウ
告|tell|コク,つ-げる
混|mix|コン,ま-じる,ま-ざる,ま-ぜる,こ-む
査|investigate|サ
再|again|サイ,（サ）,ふたた-び
災|disaster|サイ,わざわ-い
妻|wife|サイ,つま
採|pick|サイ,と-る
際|occasion|サイ,きわ
在|exist|ザイ,あ-る
財|wealth|ザイ,（サイ）
罪|guilt|ザイ,つみ
殺|kill|サツ,（サイ）,（セツ）,ころ-す
雑|miscellaneous|ザツ,ゾウ
酸|acid|サン,す-い
賛|approve|サン
士|gentleman|シ
支|branch|シ,ささ-える
史|history|シ
志|intention|シ,こころざ-す,こころざし
枝|branch|シ,えだ
師|expert|シ
資|resources|シ
飼|domesticate|シ,か-う
示|indicate|ジ,シ,しめ-す
似|becoming|ジ,に-る
識|discriminating|シキ
質|quality|シツ,シチ,（チ）
舎|cottage|シャ
謝|apologize|シャ,あやま-る
授|instruct|ジュ,さず-ける,さず-かる
修|discipline|シュウ,（シュ）,おさ-める,おさ-まる
述|mention|ジュツ,の-べる
術|art|ジュツ
準|standard|ジュン
序|preface|ジョ
招|beckon|ショウ,まね-く
証|evidence|ショウ
象|elephant|ショウ,ゾウ
賞|prize|ショウ
条|clause|ジョウ
状|form|ジョウ
常|normal|ジョウ,つね,とこ
情|feelings|ジョウ,（セイ）,なさ-け
織|weave|ショク,シキ,お-る
職|employment|ショク
制|control|セイ
性|gender|セイ,ショウ
政|politics|セイ,（ショウ）,まつりごと
勢|power|セイ,いきお-い
精|refined|セイ,（ショウ）
製|manufacture|セイ
税|tax|ゼイ
責|blame|セキ,せ-める
績|exploits|セキ
接|contact|セツ,つ-ぐ
設|establish|セツ,もう-ける
絶|discontinue|ゼツ,た-える,た-やす,た-つ
祖|ancestor|ソ
素|elementary|ソ,ス
総|whole|ソウ
造|create|ゾウ,つく-る
像|statue|ゾウ
増|increase|ゾウ,ま-す,ふ-える,ふ-やす
則|rule|ソク
測|fathom|ソク,はか-る
属|belong|ゾク
率|rate|ソツ,リツ,ひき-いる
損|loss|ソン,そこ-なう,そこ-ねる
貸|lend|タイ,か-す
態|condition|タイ
団|group|ダン,（トン）
断|cut off|ダン,た-つ,ことわ-る
築|fabricate|チク,きず-く
貯|savings|チョ
張|stretch|チョウ,は-る
停|halt|テイ
提|present|テイ,さ-げる
程|extent|テイ,ほど
適|suitable|テキ
統|unite|トウ,す-べる
堂|public chamber|ドウ
銅|copper|ドウ
導|guide|ドウ,みちび-く
得|acquire|トク,え-る,う-る
毒|poison|ドク
独|alone|ドク,ひと-り
任|responsibility|ニン,まか-せる,まか-す
燃|burn|ネン,も-える,も-やす,も-す
能|ability|ノウ
破|rend|ハ,やぶ-る,やぶ-れる
犯|crime|ハン,おか-す
判|judge|ハン,バン
